date,prcp_mm
2023-08-20,0.8635999999999999
2023-08-21,0.0
2023-08-22,0.0
2023-08-23,0.0
2023-08-24,0.0254
2023-08-25,0.0
2023-08-26,0.0
2023-08-27,12.471399999999997
2023-08-28,0.0
2023-08-29,0.5588
2023-08-30,64.6938
2023-08-31,30.810200000000002
2023-09-01,40.66539999999999
2023-09-02,3.0988
2023-09-03,0.0
2023-09-04,0.0
2023-09-05,0.0
2023-09-06,0.0
2023-09-07,0.0
2023-09-08,22.656799999999997
2023-09-09,0.0
2023-09-10,0.0
2023-09-11,0.0
2023-09-12,62.99199999999999
2023-09-13,0.0254
2023-09-14,0.0254
2023-09-15,0.0254
2023-09-16,1.3208
2023-09-17,0.0254
2023-09-18,0.0
2023-09-19,0.0
2023-09-20,3.5814
2023-09-21,10.9474
2023-09-22,0.0
2023-09-23,0.0
2023-09-24,0.0
2023-09-25,6.8834
2023-09-26,4.3688
2023-09-27,18.5674
2023-09-28,10.236199999999998
2023-09-29,1.5493999999999999
2023-09-30,0.1016
2023-10-01,38.633399999999995
2023-10-02,0.5334
2023-10-03,0.07619999999999999
2023-10-04,1.1938
2023-10-05,3.9623999999999997
2023-10-06,0.0254
2023-10-07,0.0
2023-10-08,0.0
2023-10-09,0.0
2023-10-10,0.0
2023-10-11,5.6642
2023-10-12,2.4638
2023-10-13,0.7873999999999999
2023-10-14,0.0
2023-10-15,0.0
2023-10-16,0.0
2023-10-17,0.0
2023-10-18,0.0
2023-10-19,0.0
2023-10-20,0.0
2023-10-21,0.0
2023-10-22,0.0
2023-10-23,0.0
2023-10-24,0.0
2023-10-25,0.0508
2023-10-26,0.0254
2023-10-27,0.07619999999999999
2023-10-28,0.0
2023-10-29,0.0
2023-10-30,0.0
2023-10-31,0.0
2023-11-01,0.0
2023-11-02,0.0
2023-11-03,0.07619999999999999
2023-11-04,0.0
2023-11-05,0.0
2023-11-06,0.0
2023-11-07,0.0
2023-11-08,0.0
2023-11-09,0.0
2023-11-10,0.0
2023-11-11,2.8194
2023-11-12,0.127
2023-11-13,0.127
2023-11-14,1.8542
2023-11-15,5.4102
2023-11-16,58.52159999999999
2023-11-17,58.8518
2023-11-18,0.9398
2023-11-19,0.0
2023-11-20,0.0
2023-11-21,0.0
2023-11-22,1.0668
2023-11-23,0.0
2023-11-24,0.2032
2023-11-25,0.1016
2023-11-26,3.4543999999999997
2023-11-27,0.2794
2023-11-28,0.0
2023-11-29,0.0
2023-11-30,0.0
2023-12-01,0.0508
2023-12-02,0.0254
2023-12-03,0.0508
2023-12-04,0.0508
2023-12-05,0.0
2023-12-06,0.0
2023-12-07,0.0
2023-12-08,0.0
2023-12-09,0.0508
2023-12-10,5.8420000000000005
2023-12-11,2.032
2023-12-12,0.0
2023-12-13,0.0254
2023-12-14,0.0
2023-12-15,0.0254
2023-12-16,32.8422
2023-12-17,41.300399999999996
2023-12-18,0.0
2023-12-19,0.0
2023-12-20,0.0
2023-12-21,0.0
2023-12-22,0.0
2023-12-23,0.0508
2023-12-24,0.3556
2023-12-25,0.127
2023-12-26,1.0668
2023-12-27,0.0
2023-12-28,10.2108
2023-12-29,0.0
2023-12-30,0.0
2023-12-31,0.0
2024-01-01,0.0
2024-01-02,0.0
2024-01-03,0.0
2024-01-04,0.4572
2024-01-05,0.0
2024-01-06,14.7828
2024-01-07,2.5653999999999995
2024-01-08,0.0254
2024-01-09,5.6642
2024-01-10,6.3754
2024-01-11,0.0
2024-01-12,2.921
2024-01-13,0.3048
2024-01-14,2.0827999999999998
2024-01-15,0.5841999999999999
2024-01-16,1.6001999999999998
2024-01-17,0.508
2024-01-18,1.5493999999999999
2024-01-19,1.9811999999999999
2024-01-20,0.0
2024-01-21,0.0
2024-01-22,0.0
2024-01-23,0.0508
2024-01-24,0.0
2024-01-25,0.0
2024-01-26,0.0
2024-01-27,0.0
2024-01-28,0.2794
2024-01-29,0.0
2024-01-30,0.0
2024-01-31,0.0
2024-02-01,0.0
2024-02-02,0.0
2024-02-03,0.0
2024-02-04,0.6096
2024-02-05,0.07619999999999999
2024-02-06,0.0
2024-02-07,0.0
2024-02-08,0.0
2024-02-09,0.0
2024-02-10,0.0
2024-02-11,0.0
2024-02-12,0.0254
2024-02-13,1.0414
2024-02-14,0.0
2024-02-15,0.0
2024-02-16,0.0
2024-02-17,10.541
2024-02-18,42.164
2024-02-19,4.445
2024-02-20,0.0
2024-02-21,0.0
2024-02-22,0.0
2024-02-23,0.0
2024-02-24,2.794
2024-02-25,0.0
2024-02-26,0.0
2024-02-27,0.0
2024-02-28,0.0
2024-02-29,0.0508
2024-03-01,0.0
2024-03-02,0.0
2024-03-03,8.407399999999999
2024-03-04,0.0
2024-03-05,0.0
2024-03-06,2.1082
2024-03-07,0.0
2024-03-08,0.0
2024-03-09,0.0
2024-03-10,0.3302
2024-03-11,0.0
2024-03-12,0.0
2024-03-13,0.0254
2024-03-14,0.0254
